antecedent,consequent,weight,source_row
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Good,0.4048806813130832,125
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.3786405027296186,126
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Poor,0.3859540272639616,127
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.4109898855873795,128
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Good,0.3508554518851825,129
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Low AND W=3,Good,0.4862768878937933,130
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=High AND N=Low AND E=Normal AND W=1,Acceptable,0.3805548283738545,131
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Poor,0.3523255786993358,132
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=High AND W=2,Poor,0.4003014903202755,133
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=High AND E=Normal AND W=1,Poor,0.3367110383395288,134
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=1,Acceptable,0.4279348200827344,135
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.334767211742786,136
